着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,"ﾀｲﾑ指数


タイム指数(通常)
タイム指数マスター","ﾀｲﾑ指数M


タイム指数(通常)
タイム指数マスター",ｽﾀｰﾄ指数,追走指数,上がり指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),race_id,date,surface,distance,condition
12,8,14,スムースオペレター,牡2,55.0,永野猛蔵,1:52.7,1/2,**,**,**,**,**,7-8-8-10,36.8,46.8,7.0,426(0),,,,426(0),,,202406040705,2024年09月22日,芝,1800,良
13,7,11,キャバリエクエスト,牡2,55.0,杉原誠人,1:53.0,1.3/4,**,**,**,**,**,14-14-13-12,36.5,131.1,11.0,464(0),,,,464(0),,,202406040705,2024年09月22日,芝,1800,良
14,7,12,ホファヴァルト,牡2,51.0,大江原比,1:53.0,クビ,**,**,**,**,**,10-10-12-14,36.6,147.7,13.0,462(0),,,,462(0),,,202406040705,2024年09月22日,芝,1800,良
1,7,10,ダイヤモンドナイツ,牡3,55.0,吉田豊,1:54.1,,**,**,**,**,**,7-7-4-6,38.0,24.9,7.0,470(-4),,,,470(-4),,800.0,202406040706,2024年09月22日,ダ,1800,良
2,1,1,クラウンシエンタ,牡3,55.0,三浦皇成,1:54.2,1,**,**,**,**,**,6-6-4-2,38.1,5.1,2.0,494(+4),,,,494(+4),,320.0,202406040706,2024年09月22日,ダ,1800,良
3,3,3,コッレヴェッキオ,牡3,55.0,戸崎圭太,1:54.7,2.1/2,**,**,**,**,**,10-10-4-2,38.6,1.6,1.0,476(0),,,,476(0),,200.0,202406040706,2024年09月22日,ダ,1800,良
4,4,4,エコロブレード,牡3,55.0,岩田康誠,1:54.8,3/4,**,**,**,**,**,4-4-3-4,38.8,6.3,3.0,450(0),,,,450(0),,120.0,202406040706,2024年09月22日,ダ,1800,良
5,5,5,スライスヘリテージ,牝4,56.0,伊藤工真,1:54.8,クビ,**,**,**,**,**,5-5-4-7,38.7,13.8,4.0,480(+2),,,,480(+2),,80.0,202406040706,2024年09月22日,ダ,1800,良
6,8,12,サトノラッシュ,セ5,58.0,北村宏司,1:55.3,3,**,**,**,**,**,1-1-1-1,39.6,28.6,8.0,528(-6),,,,528(-6),,,202406040706,2024年09月22日,ダ,1800,良
7,6,8,ベイビールビオ,牡5,58.0,菅原明良,1:55.6,1.1/2,**,**,**,**,**,11-11-10-10,38.7,16.9,5.0,490(-4),,,,490(-4),,,202406040706,2024年09月22日,ダ,1800,良
8,8,11,マイショウチャン,牡4,55.0,長浜鴻緒,1:55.8,1.1/4,**,**,**,**,**,8-8-9-8,39.4,49.8,9.0,450(+10),,,,450(+10),,,202406040706,2024年09月22日,ダ,1800,良
9,6,7,グッドエクスプレス,牡3,55.0,木幡初也,1:55.8,アタマ,**,**,**,**,**,2-2-2-5,39.9,22.7,6.0,516(-2),,,,516(-2),,,202406040706,2024年09月22日,ダ,1800,良
10,5,6,ペイシャイン,牡3,55.0,原田和真,1:57.8,大,**,**,**,**,**,3-3-8-8,41.6,285.7,12.0,440(-2),,,,440(-2),,,202406040706,2024年09月22日,ダ,1800,良
11,2,2,リーゼントジャンボ,牡6,58.0,松岡正海,1:59.0,7,**,**,**,**,**,11-11-12-11,41.4,223.1,11.0,532(-4),,,,532(-4),,,202406040706,2024年09月22日,ダ,1800,良
12,7,9,ホウオウベリテ,セ5,58.0,野中悠太,2:01.0,大,**,**,**,**,**,8-9-11-11,43.7,205.2,10.0,450(-8),,,,450(-8),,,202406040706,2024年09月22日,ダ,1800,良
1,4,7,マンウォル,牝3,54.0,菊沢一樹,1:32.6,,**,**,**,**,**,3-5-4,34.5,22.5,8.0,428(+2),,,,428(+2),,800.0,202406040707,2024年09月22日,芝,1600,良
2,5,10,ツルマウカタチ,牡3,56.0,津村明秀,1:32.6,クビ,**,**,**,**,**,11-8-7,34.2,6.3,3.0,476(+16),,,,476(+16),,320.0,202406040707,2024年09月22日,芝,1600,良
3,7,14,ニシノインヴィクタ,牡3,56.0,永野猛蔵,1:32.7,3/4,**,**,**,**,**,9-11-9,34.1,7.5,5.0,498(-6),,,,498(-6),,200.0,202406040707,2024年09月22日,芝,1600,良
4,2,3,エフォートレス,牡3,56.0,丸山元気,1:32.7,ハナ,**,**,**,**,**,3-3-3,34.8,4.0,1.0,470(-2),,,,470(-2),,120.0,202406040707,2024年09月22日,芝,1600,良
5,6,11,アストラッド,牝3,54.0,石川裕紀,1:32.8,1/2,**,**,**,**,**,2-2-2,35.0,64.5,14.0,420(+6),,,,420(+6),,80.0,202406040707,2024年09月22日,芝,1600,良
6,5,9,ドリーミングアップ,牡3,56.0,吉田豊,1:32.8,アタマ,**,**,**,**,**,16-13-12,33.7,19.7,7.0,462(+6),,,,462(+6),,,202406040707,2024年09月22日,芝,1600,良
7,7,13,グレイトクラウン,牝3,54.0,木幡巧也,1:33.0,1.1/4,**,**,**,**,**,3-3-4,35.1,50.2,12.0,460(+4),,,,460(+4),,,202406040707,2024年09月22日,芝,1600,良
8,1,1,ララヴィエルジュ,牝3,54.0,西村太一,1:33.0,ハナ,**,**,**,**,**,9-8-8,34.6,132.0,15.0,404(+10),,,,404(+10),,,202406040707,2024年09月22日,芝,1600,良
9,2,4,ジャグアール,牡3,56.0,戸崎圭太,1:33.1,クビ,**,**,**,**,**,14-15-15,33.7,7.3,4.0,454(+4),,,,454(+4),,,202406040707,2024年09月22日,芝,1600,良
10,3,6,ビジューブリランテ,セ6,58.0,杉原誠人,1:33.1,アタマ,**,**,**,**,**,6-5-4,35.0,41.9,11.0,494(+8),,,,494(+8),,,202406040707,2024年09月22日,芝,1600,良
11,3,5,ユニヴェール,牡3,56.0,団野大成,1:33.4,2,**,**,**,**,**,1-1-1,35.9,8.2,6.0,470(-2),,,,470(-2),,,202406040707,2024年09月22日,芝,1600,良
12,8,15,バスターコール,牡3,56.0,北村宏司,1:33.6,1.1/4,**,**,**,**,**,12-12-13,34.6,32.2,10.0,490(-8),,,,490(-8),,,202406040707,2024年09月22日,芝,1600,良
13,6,12,ミエノブラボー,牝3,54.0,菅原明良,1:33.6,アタマ,**,**,**,**,**,6-10-9,35.1,31.9,9.0,472(+6),,,,472(+6),,,202406040707,2024年09月22日,芝,1600,良
14,1,2,イヴニングスター,牡5,58.0,松岡正海,1:34.0,2.1/2,**,**,**,**,**,13-13-14,34.8,58.9,13.0,502(-4),,,,502(-4),,,202406040707,2024年09月22日,芝,1600,良
15,4,8,ローリーグローリー,牝3,54.0,ルメール,1:34.0,アタマ,**,**,**,**,**,6-7-11,35.7,4.7,2.0,458(+4),,,,458(+4),,,202406040707,2024年09月22日,芝,1600,良
16,8,16,エイジアンスター,牡4,58.0,嶋田純次,1:37.2,大,**,**,**,**,**,14-16-16,37.6,284.1,16.0,516(+2),,,,516(+2),,,202406040707,2024年09月22日,芝,1600,良
1,7,14,リリージェーン,牝4,56.0,丹内祐次,1:11.6,,**,**,**,**,**,3-2,37.5,10.6,7.0,432(+16),,,,432(+16),,800.0,202406040708,2024年09月22日,ダ,1200,良
2,8,15,キボウノホシ,セ5,56.0,小林脩斗,1:11.7,3/4,**,**,**,**,**,10-8,37.2,3.7,1.0,488(+4),,,,488(+4),,320.0,202406040708,2024年09月22日,ダ,1200,良
3,2,3,ゲキザル,牡5,54.0,大江原比,1:12.1,2,**,**,**,**,**,15-14,37.1,8.5,4.0,474(0),,,,474(0),,200.0,202406040708,2024年09月22日,ダ,1200,良
4,8,16,スマートオリーブ,牝5,55.0,横山琉人,1:12.2,1/2,**,**,**,**,**,3-2,38.1,8.7,6.0,484(-4),,,,484(-4),,120.0,202406040708,2024年09月22日,ダ,1200,良
5,6,11,クィーンアドバンス,牝7,56.0,菊沢一樹,1:12.3,1/2,**,**,**,**,**,8-5,37.9,83.2,12.0,478(+4),,,,478(+4),,80.0,202406040708,2024年09月22日,ダ,1200,良
6,3,5,サルモン,牡4,58.0,石橋脩,1:12.3,アタマ,**,**,**,**,**,2-2,38.4,15.4,8.0,528(+6),,,,528(+6),,,202406040708,2024年09月22日,ダ,1200,良
7,2,4,オコジュ,牝4,56.0,杉原誠人,1:12.4,1/2,**,**,**,**,**,10-12,37.8,35.0,10.0,466(+6),,,,466(+6),,,202406040708,2024年09月22日,ダ,1200,良
8,4,7,レイニングキャット,牡3,56.0,横山武史,1:12.7,2,**,**,**,**,**,8-10,38.3,5.0,2.0,492(+2),,,,492(+2),,,202406040708,2024年09月22日,ダ,1200,良
9,6,12,カフェベラノッテ,牡5,56.0,小林勝太,1:12.7,アタマ,**,**,**,**,**,6-5,38.4,20.1,9.0,482(+4),,,,482(+4),,,202406040708,2024年09月22日,ダ,1200,良
10,3,6,アベベ,牡3,54.0,藤田菜七,1:12.9,1.1/4,**,**,**,**,**,15-14,37.9,88.4,13.0,460(-2),,,,460(-2),,,202406040708,2024年09月22日,ダ,1200,良
11,5,9,ナファロア,牡3,56.0,三浦皇成,1:13.0,1/2,**,**,**,**,**,10-8,38.4,8.5,5.0,460(0),,,,460(0),,,202406040708,2024年09月22日,ダ,1200,良
12,1,2,サンランシング,牝6,53.0,土田真翔,1:13.1,クビ,**,**,**,**,**,3-5,39.0,134.3,15.0,486(-8),,,,486(-8),,,202406040708,2024年09月22日,ダ,1200,良
13,1,1,レーザーショー,牡3,56.0,松岡正海,1:13.2,1,**,**,**,**,**,1-1,39.4,6.9,3.0,492(+10),,,,492(+10),,,202406040708,2024年09月22日,ダ,1200,良
14,5,10,イスラアズール,セ3,53.0,石神深道,1:13.3,クビ,**,**,**,**,**,10-12,38.7,113.6,14.0,438(+2),,,,438(+2),,,202406040708,2024年09月22日,ダ,1200,良
15,4,8,ジェイエルバルカー,牡4,58.0,小林凌大,1:13.5,1.1/4,**,**,**,**,**,6-10,39.2,55.2,11.0,498(+4),,,,498(+4),,,202406040708,2024年09月22日,ダ,1200,良
16,7,13,フクシマジョワイユ,牝3,51.0,佐藤翔馬,1:16.7,大,**,**,**,**,**,14-16,41.9,399.8,16.0,490(0),,,,490(0),,,202406040708,2024年09月22日,ダ,1200,良
1,5,7,キープカルム,牡3,56.0,三浦皇成,1:32.4,,**,**,**,**,**,2-2-2,33.8,4.4,2.0,484(-2),,,,484(-2),,"1,577.3",202406040709,2024年09月22日,芝,1600,良
2,1,1,ミラビリスマジック,牝3,54.0,戸崎圭太,1:32.7,1.1/2,**,**,**,**,**,2-4-3,33.8,4.8,3.0,460(+18),,,,460(+18),,627.8,202406040709,2024年09月22日,芝,1600,良
3,6,9,メタルスピード,牡4,58.0,横山武史,1:32.8,3/4,**,**,**,**,**,1-1-1,34.3,16.8,4.0,506(-6),,,,506(-6),,393.9,202406040709,2024年09月22日,芝,1600,良
4,4,5,ペリファーニア,牝4,56.0,ルメール,1:33.0,1.1/4,**,**,**,**,**,8-10-7,33.8,1.6,1.0,508(+8),,,,508(+8),,230.0,202406040709,2024年09月22日,芝,1600,良
5,2,2,メタルスパーク,セ7,58.0,丹内祐次,1:33.3,2,**,**,**,**,**,8-8-5,34.2,252.3,13.0,488(+2),,,,488(+2),,155.0,202406040709,2024年09月22日,芝,1600,良
6,4,4,セラフィナイト,牡6,58.0,津村明秀,1:33.4,3/4,**,**,**,**,**,13-12-11,34.0,181.5,10.0,454(+8),,,,454(+8),,,202406040709,2024年09月22日,芝,1600,良
7,3,3,スパークリシャール,セ3,56.0,菅原明良,1:33.5,3/4,**,**,**,**,**,2-4-3,34.6,40.8,6.0,464(-8),,,,464(-8),,,202406040709,2024年09月22日,芝,1600,良
8,8,12,ケイケイ,セ3,56.0,大野拓弥,1:33.9,2,**,**,**,**,**,12-12-11,34.5,61.3,8.0,458(+2),,,,458(+2),,,202406040709,2024年09月22日,芝,1600,良
9,7,11,ジッピーレーサー,セ7,58.0,原優介,1:34.0,3/4,**,**,**,**,**,2-3-5,35.3,250.4,12.0,478(+6),,,,478(+6),,,202406040709,2024年09月22日,芝,1600,良
10,7,10,ルカン,牝4,56.0,団野大成,1:34.3,1.3/4,**,**,**,**,**,8-11-11,35.0,199.6,11.0,418(+4),,,,418(+4),,,202406040709,2024年09月22日,芝,1600,良
11,8,13,コスモスプモーニ,牡4,58.0,石橋脩,1:34.3,ハナ,**,**,**,**,**,2-4-7,35.5,150.5,9.0,482(+6),,,,482(+6),,,202406040709,2024年09月22日,芝,1600,良
12,6,8,ポッドテオ,牡3,56.0,北村宏司,1:34.5,1.1/2,**,**,**,**,**,8-8-7,35.4,17.6,5.0,472(+2),,,,472(+2),,,202406040709,2024年09月22日,芝,1600,良
13,5,6,ボルタドマール,セ5,58.0,木幡巧也,1:34.5,クビ,**,**,**,**,**,2-4-7,35.6,46.4,7.0,510(+8),,,,510(+8),,,202406040709,2024年09月22日,芝,1600,良
1,7,12,ヒューゴ,牡4,55.0,岩田康誠,1:53.1,,**,**,**,**,**,5-5-4-3,38.0,20.1,7.0,456(0),,,,456(0),,"1,871.5",202406040710,2024年09月22日,ダ,1800,良
2,7,11,オメガタキシード,セ4,56.0,ルメール,1:53.2,1/2,**,**,**,**,**,10-9-10-10,37.5,3.4,2.0,444(0),,,,444(0),,749.0,202406040710,2024年09月22日,ダ,1800,良
3,4,6,クインズミモザ,牝6,53.0,石川裕紀,1:53.2,ハナ,**,**,**,**,**,11-11-12-12,37.2,15.7,6.0,526(+8),,,,526(+8),,464.5,202406040710,2024年09月22日,ダ,1800,良
4,5,7,ホウオウカブキ,牡4,57.0,戸崎圭太,1:53.2,アタマ,**,**,**,**,**,6-6-7-7,37.7,3.2,1.0,472(+2),,,,472(+2),,280.0,202406040710,2024年09月22日,ダ,1800,良
5,8,14,オレデイイノカ,牡6,54.0,内田博幸,1:53.2,クビ,**,**,**,**,**,7-6-7-7,37.8,41.5,10.0,504(+4),,,,504(+4),,184.0,202406040710,2024年09月22日,ダ,1800,良
6,2,2,デルマオニキス,牡7,54.0,菊沢一樹,1:53.3,クビ,**,**,**,**,**,14-14-14-14,37.0,210.0,14.0,496(0),,,,496(0),,,202406040710,2024年09月22日,ダ,1800,良
7,3,4,オンザライン,セ6,57.0,石橋脩,1:53.6,1.1/2,**,**,**,**,**,9-9-10-10,37.9,7.0,4.0,452(+4),,,,452(+4),,,202406040710,2024年09月22日,ダ,1800,良
8,4,5,カランセ,牝5,52.0,伊藤工真,1:53.7,1/2,**,**,**,**,**,13-13-12-12,37.7,37.3,9.0,490(+10),,,,490(+10),,,202406040710,2024年09月22日,ダ,1800,良
9,8,13,トップスティール,牡5,55.0,丸田恭介,1:53.7,クビ,**,**,**,**,**,11-11-2-4,38.8,99.1,13.0,510(+6),,,,510(+6),,,202406040710,2024年09月22日,ダ,1800,良
10,6,10,サノノエスポ,牝4,53.0,菅原明良,1:54.0,1.3/4,**,**,**,**,**,3-3-4-6,38.9,5.1,3.0,468(+10),,,,468(+10),,,202406040710,2024年09月22日,ダ,1800,良
11,6,9,トラモント,セ7,55.0,北村宏司,1:54.4,2.1/2,**,**,**,**,**,4-4-4-4,39.3,45.2,11.0,498(-2),,,,498(-2),,,202406040710,2024年09月22日,ダ,1800,良
12,3,3,ヨリノサファイヤ,牝4,53.0,藤田菜七,1:54.6,1,**,**,**,**,**,1-1-1-2,39.8,15.3,5.0,536(+22),,,,536(+22),,,202406040710,2024年09月22日,ダ,1800,良
13,5,8,グランサバナ,セ4,55.0,丹内祐次,1:54.7,クビ,**,**,**,**,**,2-2-2-1,39.9,27.5,8.0,490(-12),,,,490(-12),,,202406040710,2024年09月22日,ダ,1800,良
14,1,1,アイファーエポック,牡5,54.0,野中悠太,1:54.9,1,**,**,**,**,**,7-6-9-9,39.3,61.9,12.0,478(-4),,,,478(-4),,,202406040710,2024年09月22日,ダ,1800,良
1,3,4,レーベンスティール,牡4,57.0,ルメール,2:11.8,,**,**,**,**,**,3-3-4-4,34.1,1.5,1.0,484(+2),,,,484(+2),,"6,805.0",202406040711,2024年09月22日,芝,2200,良
2,2,3,アウスヴァール,セ6,57.0,田辺裕信,2:11.9,1/2,**,**,**,**,**,1-1-1-1,34.8,49.4,10.0,482(-12),,,,482(-12),,"2,730.0",202406040711,2024年09月22日,芝,2200,良
3,8,14,リカンカブール,牡5,57.0,津村明秀,2:12.0,1/2,**,**,**,**,**,2-2-2-2,34.6,59.8,12.0,490(0),,,,490(0),,"1,715.0",202406040711,2024年09月22日,芝,2200,良
4,6,11,サヴォーナ,牡4,57.0,横山武史,2:12.0,クビ,**,**,**,**,**,3-3-2-3,34.6,7.9,3.0,526(-4),,,,526(-4),,"1,000.0",202406040711,2024年09月22日,芝,2200,良
5,4,6,アルビージャ,牡6,57.0,嶋田純次,2:12.2,1.1/2,**,**,**,**,**,10-10-8-8,34.3,45.9,9.0,522(-4),,,,522(-4),,670.0,202406040711,2024年09月22日,芝,2200,良
6,3,5,ステラヴェローチェ,牡6,57.0,横山典弘,2:12.2,アタマ,**,**,**,**,**,6-6-4-4,34.5,5.3,2.0,508(0),,,,508(0),,,202406040711,2024年09月22日,芝,2200,良
7,2,2,ラーグルフ,牡5,57.0,三浦皇成,2:12.3,アタマ,**,**,**,**,**,8-6-8-8,34.4,39.5,6.0,500(-2),,,,500(-2),,,202406040711,2024年09月22日,芝,2200,良
8,4,7,ヤマニンサンパ,牡6,57.0,シュタル,2:12.4,1/2,**,**,**,**,**,11-10-11-11,34.2,39.9,7.0,482(+8),,,,482(+8),,,202406040711,2024年09月22日,芝,2200,良
9,5,8,ニシノレヴナント,セ4,57.0,大野拓弥,2:12.4,ハナ,**,**,**,**,**,14-14-13-11,34.0,69.0,13.0,490(0),,,,490(0),,,202406040711,2024年09月22日,芝,2200,良
10,5,9,キラーアビリティ,牡5,57.0,団野大成,2:12.4,クビ,**,**,**,**,**,11-12-11-8,34.3,56.6,11.0,482(+4),,,,482(+4),,,202406040711,2024年09月22日,芝,2200,良
11,8,15,ミクソロジー,牡5,57.0,菅原明良,2:12.6,1,**,**,**,**,**,11-13-13-14,34.1,28.7,5.0,444(+10),,,,444(+10),,,202406040711,2024年09月22日,芝,2200,良
12,1,1,サリエラ,牝5,55.0,戸崎圭太,2:13.2,3.1/2,**,**,**,**,**,3-3-4-4,35.6,10.0,4.0,424(0),,,,424(0),,,202406040711,2024年09月22日,芝,2200,良
13,7,13,ナイママ,牡8,57.0,丹内祐次,2:13.6,2.1/2,**,**,**,**,**,15-15-15-15,34.7,400.4,15.0,482(-6),,,,482(-6),,,202406040711,2024年09月22日,芝,2200,良
14,7,12,ロバートソンキー,牡7,57.0,伊藤工真,2:13.8,1.1/4,**,**,**,**,**,6-6-4-7,36.2,40.8,8.0,478(-14),,,,478(-14),,,202406040711,2024年09月22日,芝,2200,良
15,6,10,フェーングロッテン,セ5,57.0,佐々木大,2:15.1,8,**,**,**,**,**,8-9-8-13,37.2,190.8,14.0,464(-4),,,,464(-4),,,202406040711,2024年09月22日,芝,2200,良
1,4,6,インビンシブルパパ,牡3,55.0,ルメール,1:10.7,,**,**,**,**,**,2-2,37.1,1.4,1.0,516(+6),,,,516(+6),,"1,140.0",202406040712,2024年09月22日,ダ,1200,良
2,7,12,ルクスメテオール,牡4,58.0,団野大成,1:10.9,1,**,**,**,**,**,4-2,36.9,14.7,4.0,478(-2),,,,478(-2),,460.0,202406040712,2024年09月22日,ダ,1200,良
3,8,14,ショウナンアビアス,牡4,58.0,岩田康誠,1:10.9,クビ,**,**,**,**,**,7-5,36.7,13.3,3.0,502(+4),,,,502(+4),,290.0,202406040712,2024年09月22日,ダ,1200,良
4,1,1,チュウワキャリア,牝3,54.0,大野拓弥,1:11.0,3/4,**,**,**,**,**,1-1,37.5,22.4,6.0,504(-8),,,,504(-8),,170.0,202406040712,2024年09月22日,ダ,1200,良
5,5,8,グレタ,牝5,56.0,菊沢一樹,1:11.0,ハナ,**,**,**,**,**,3-4,37.1,24.8,7.0,474(-2),,,,474(-2),,114.0,202406040712,2024年09月22日,ダ,1200,良
6,6,10,コブラ,牡5,58.0,横山典弘,1:11.1,クビ,**,**,**,**,**,15-14,35.9,7.3,2.0,482(0),,,,482(0),,,202406040712,2024年09月22日,ダ,1200,良
7,6,11,ドンレパルス,牡5,58.0,菅原明良,1:11.1,クビ,**,**,**,**,**,10-10,36.7,18.1,5.0,518(+2),,,,518(+2),,,202406040712,2024年09月22日,ダ,1200,良
8,7,13,メモリーグラス,牡4,58.0,戸崎圭太,1:11.5,2.1/2,**,**,**,**,**,11-11,36.9,28.5,8.0,480(+4),,,,480(+4),,,202406040712,2024年09月22日,ダ,1200,良
9,2,3,キャプテンローレル,牡5,56.0,小林勝太,1:11.6,クビ,**,**,**,**,**,7-8,37.3,253.0,13.0,472(+2),,,,472(+2),,,202406040712,2024年09月22日,ダ,1200,良
10,3,4,セリエル,牝3,51.0,佐藤翔馬,1:11.7,1,**,**,**,**,**,4-5,37.7,46.9,11.0,464(-8),,,,464(-8),,,202406040712,2024年09月22日,ダ,1200,良
11,3,5,ニジュウダンサー,牝4,56.0,横山武史,1:11.8,クビ,**,**,**,**,**,6-5,37.7,31.2,9.0,468(-4),,,,468(-4),,,202406040712,2024年09月22日,ダ,1200,良
12,2,2,ダークンストーミー,牡4,58.0,江田照男,1:12.0,1.1/2,**,**,**,**,**,11-11,37.4,260.3,14.0,440(-6),,,,440(-6),,,202406040712,2024年09月22日,ダ,1200,良
13,8,15,バサラ,牝4,56.0,小林凌大,1:12.1,クビ,**,**,**,**,**,14-14,37.2,276.3,15.0,452(-2),,,,452(-2),,,202406040712,2024年09月22日,ダ,1200,良
14,4,7,ネグレスコ,牝3,54.0,三浦皇成,1:12.6,3.1/2,**,**,**,**,**,7-8,38.4,34.8,10.0,494(+8),,,,494(+8),,,202406040712,2024年09月22日,ダ,1200,良
15,5,9,ライブリームーラン,牝4,53.0,長浜鴻緒,1:12.7,1/2,**,**,**,**,**,13-13,38.0,101.7,12.0,522(+4),,,,522(+4),,,202406040712,2024年09月22日,ダ,1200,良
1,8,9,フェーレンベルク,牡4,60.0,上野翔,3:14.1,,,,,,,4-3-2-2,13.5,7.2,4.0,478(-4),,,,478(-4),,790.0,202406040801,2024年09月28日,障,2880,良
2,6,6,イエローウィン,牝5,58.0,石神深一,3:14.3,1.1/4,,,,,,2-2-1-1,13.5,3.5,2.0,478(+2),,,,478(+2),,320.0,202406040801,2024年09月28日,障,2880,良
3,7,8,サンマルグレイト,牡4,60.0,大江原圭,3:15.7,8,,,,,,6-6-2-3,13.6,13.2,5.0,460(+12),,,,460(+12),,200.0,202406040801,2024年09月28日,障,2880,良
4,2,2,テンメジャーガール,牝5,58.0,中村将之,3:15.8,1/2,,,,,,4-5-6-4,13.6,6.3,3.0,508(+10),,,,508(+10),,120.0,202406040801,2024年09月28日,障,2880,良
5,1,1,ダノンジャッカル,牡5,60.0,西谷誠,3:15.9,3/4,,,,,,10-8-9-8,13.6,2.1,1.0,464(0),,,,464(0),,79.0,202406040801,2024年09月28日,障,2880,良
6,3,3,ゴーツウキリシマ,牝4,58.0,黒岩悠,3:16.5,3.1/2,,,,,,8-8-8-9,13.6,139.2,9.0,462(0),,,,462(0),,,202406040801,2024年09月28日,障,2880,良
7,8,10,ネッスンドルマ,牡5,60.0,伴啓太,3:16.5,ハナ,,,,,,6-7-7-7,13.6,13.8,6.0,462(-8),,,,462(-8),,,202406040801,2024年09月28日,障,2880,良
8,5,5,ヒダカエクスプレス,セ4,60.0,井上敏樹,3:17.3,5,,,,,,3-3-5-5,13.7,148.8,10.0,510(-10),,,,510(-10),,,202406040801,2024年09月28日,障,2880,良
9,7,7,タイセイモンストル,牡7,60.0,五十嵐雄,3:17.3,クビ,,,,,,8-8-10-10,13.7,31.1,7.0,488(+10),,,,488(+10),,,202406040801,2024年09月28日,障,2880,良
10,4,4,メイショウコホク,セ7,60.0,難波剛健,3:18.1,5,,,,,,1-1-4-5,13.8,56.6,8.0,502(-4),,,,502(-4),,,202406040801,2024年09月28日,障,2880,良
1,6,8,ラトルシェ,牝2,55.0,菅原明良,1:09.4,,**,**,**,**,**,6-5,34.8,2.0,1.0,460(0),,,,460(0),,550.0,202406040802,2024年09月28日,芝,1200,良
2,3,3,メルシーボクアスク,牝2,55.0,佐々木大,1:09.5,1,**,**,**,**,**,2-2,35.2,5.5,3.0,440(+4),,,,440(+4),,220.0,202406040802,2024年09月28日,芝,1200,良
3,1,1,バックアップアゲン,牝2,55.0,永野猛蔵,1:09.5,ハナ,**,**,**,**,**,1-1,35.3,5.8,4.0,466(+18),,,,466(+18),,140.0,202406040802,2024年09月28日,芝,1200,良
4,4,5,プリンセスロロ,牝2,55.0,吉田豊,1:09.6,クビ,**,**,**,**,**,4-5,35.1,17.5,6.0,426(+14),,,,426(+14),,83.0,202406040802,2024年09月28日,芝,1200,良
5,5,6,リケアコンパンナ,牡2,53.0,小林勝太,1:09.6,アタマ,**,**,**,**,**,7-7,34.8,168.0,9.0,452(0),,,,452(0),,55.0,202406040802,2024年09月28日,芝,1200,良
6,4,4,フライエフェクト,牝2,55.0,戸崎圭太,1:09.7,3/4,**,**,**,**,**,3-3,35.3,4.3,2.0,432(-4),,,,432(-4),,,202406040802,2024年09月28日,芝,1200,良
7,7,10,ソレイケドンチャン,牝2,55.0,丹内祐次,1:09.8,1/2,**,**,**,**,**,8-7,34.9,10.1,5.0,446(+10),,,,446(+10),,,202406040802,2024年09月28日,芝,1200,良
8,2,2,アイビーガオー,牡2,55.0,菊沢一樹,1:10.0,1.1/2,**,**,**,**,**,4-3,35.5,125.6,7.0,434(0),,,,434(0),,,202406040802,2024年09月28日,芝,1200,良
9,8,12,パトリオティズム,牝2,55.0,柴田大知,1:10.1,クビ,**,**,**,**,**,11-10,34.9,489.8,13.0,414(+2),,,,414(+2),,,202406040802,2024年09月28日,芝,1200,良
10,7,11,ニシノヘリオトロプ,牝2,52.0,佐藤翔馬,1:10.8,4,**,**,**,**,**,9-9,35.8,152.3,8.0,430(-2),,,,430(-2),,,202406040802,2024年09月28日,芝,1200,良
11,5,7,マインエンゼル,牝2,52.0,石田拓郎,1:11.4,3.1/2,**,**,**,**,**,12-11,35.7,270.7,12.0,452(+12),,,,452(+12),,,202406040802,2024年09月28日,芝,1200,良
12,6,9,スターオブガイア,牡2,55.0,丸田恭介,1:11.7,1.3/4,**,**,**,**,**,13-12,35.5,270.3,11.0,442(+10),,,,442(+10),,,202406040802,2024年09月28日,芝,1200,良
中,8,13,ドゥフトブリューテ,牡2,51.0,大江原比,,,,,,,,9-13,,240.3,10.0,434(+4),,,,434(+4),,,202406040802,2024年09月28日,芝,1200,良
1,7,14,トルショー,牡2,55.0,モレイラ,1:54.6,,**,**,**,**,**,3-3-2-2,38.7,3.7,2.0,464(-4),,,,464(-4),,550.0,202406040803,2024年09月28日,ダ,1800,良
2,2,3,サムシャイン,牡2,55.0,菅原明良,1:55.0,2.1/2,**,**,**,**,**,14-13-13-10,37.7,5.2,4.0,478(0),,,,478(0),,220.0,202406040803,2024年09月28日,ダ,1800,良
3,3,5,ラントレイル,牡2,55.0,石橋脩,1:55.4,2.1/2,**,**,**,**,**,1-1-1-1,39.7,4.9,3.0,436(+2),,,,436(+2),,140.0,202406040803,2024年09月28日,ダ,1800,良
4,4,7,カージオイド,牡2,55.0,永野猛蔵,1:55.9,3,**,**,**,**,**,3-3-2-2,40.1,11.8,5.0,506(+2),,,,506(+2),,83.0,202406040803,2024年09月28日,ダ,1800,良
5,5,9,プロフェータ,牡2,55.0,戸崎圭太,1:56.3,2,**,**,**,**,**,8-8-4-4,40.1,19.8,6.0,460(+8),,,,460(+8),,55.0,202406040803,2024年09月28日,ダ,1800,良
