着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,"ﾀｲﾑ指数


タイム指数(通常)
タイム指数マスター","ﾀｲﾑ指数M


タイム指数(通常)
タイム指数マスター",ｽﾀｰﾄ指数,追走指数,上がり指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),race_id,category
5,7,10,ラスク,牝3,55,鮫島克駿,1:56.7,2,**,**,**,**,**,8-8-8-8,38.7,24.8,7,458(-4),,,,"[西]
中村直也",土田重実,55.0,202409010301,NAR
6,5,5,ハイウェイスター,牝3,55,藤岡佑介,1:56.7,アタマ,**,**,**,**,**,7-7-7-6,38.9,4.9,2,476(+2),,,,"[西]
宮本博",ノースヒルズ,,202409010301,NAR
7,3,3,ミスパープル,牝3,55,西村淳也,1:56.7,アタマ,**,**,**,**,**,3-3-3-3,39.4,2.2,1,484(+2),,,,"[西]
松永幹夫",桑田牧場,,202409010301,NAR
8,2,2,ランスオブセヘル,牝3,55,ルメール,1:56.9,1,**,**,**,**,**,5-5-5-5,39.4,7.5,5,486(0),,,,"[西]
奥村豊",五影慶則,,202409010301,NAR
9,8,11,マリリア,牝3,55,松若風馬,1:57.6,4,**,**,**,**,**,5-5-5-6,40.1,78.2,10,458(+2),,,,"[西]
吉田直弘",二口雅一,,202409010301,NAR
10,4,4,ゴーダンシング,牝3,52,今村聖奈,1:57.8,3/4,**,**,**,**,**,8-9-9-8,39.8,69.7,9,454(-4),,,,"[西]
武英智",前田剛,,202409010301,NAR
11,1,1,クリノアクアマリン,牝3,51,古川奈穂,1:57.9,1/2,**,**,**,**,**,10-10-10-11,39.4,344.2,12,416(+2),,,,"[西]
藤沢則雄",栗本博晴,,202409010301,NAR
12,5,6,メイショウムーヴ,牝3,54,角田大河,1:58.4,3,**,**,**,**,**,11-11-11-12,39.3,322.4,11,444(-2),,,,"[西]
荒川義之",松本好雄,,202409010301,NAR
1,2,2,エンデュミオン,牡7,60,小牧加矢,3:10.3,,,,,,,1-1-1-1,13.3,1.8,1,468(+6),,,,"[西]
清水久詞",ターフ・スポート,"1,350.0",202410020704,NAR
2,8,12,ブリヨンカズマ,牡5,60,伴啓太,3:11.4,7,,,,,,5-3-2-2,13.4,24.1,6,522(+8),,,,"[東]
高橋文雅",雅苑興業,540.0,202410020704,NAR
3,1,1,ゴールドパラディン,牡7,60,森一馬,3:12.1,4,,,,,,5-3-4-3,13.4,4.8,2,454(+4),,,,"[西]
吉岡辰弥",ノルマンディーサラブレッドレーシング,340.0,202410020704,NAR
4,3,3,フロールシュタット,牡5,60,石神深一,3:12.5,2.1/2,,,,,,11-11-10-8,13.5,26.0,7,476(-2),,,,"[東]
戸田博文",吉田勝己,200.0,202410020704,NAR
5,5,6,ラジェドール,セ6,60,草野太郎,3:12.6,3/4,,,,,,4-6-5-5,13.5,50.9,9,500(0),,,,"[東]
小笠倫弘",根岸朋弘,135.0,202410020704,NAR
6,5,5,リバーシブルレーン,牡8,59,水沼元輝,3:13.0,2,,,,,,2-3-6-6,13.5,52.8,10,452(0),,,,"[東]
辻哲英",吉田照哉,,202410020704,NAR
7,7,10,ニンギルス,牡7,57,鷲頭虎太,3:13.0,クビ,,,,,,3-2-3-3,13.5,6.9,3,460(+2),,,,"[西]
鈴木孝志",武田茂男,,202410020704,NAR
8,4,4,ユーベルント,牝6,58,大庭和弥,3:13.3,1.1/2,,,,,,11-9-9-8,13.5,43.5,8,456(+2),,,,"[東]
堀内岳志",ノルマンディーサラブレッドレーシング,,202410020704,NAR
9,8,11,テーオーコンドル,セ5,60,五十嵐雄,3:13.5,1.1/2,,,,,,7-7-6-6,13.5,61.6,11,480(+4),,,,"[西]
宮徹",小笹公也,,202410020704,NAR
10,7,9,メイショウキリモン,牡6,60,中村将之,3:13.6,1/2,,,,,,9-9-11-11,13.5,11.3,5,484(+2),,,,"[西]
荒川義之",松本好雄,,202410020704,NAR
11,6,7,ドンカルロ,牡4,59,小野寺祐,3:13.9,1.3/4,,,,,,8-8-8-8,13.6,8.3,4,464(+2),,,,"[西]
高柳大輔",広尾レース,,202410020704,NAR
12,6,8,フィルムスコア,牝6,58,黒岩悠,3:17.4,大,,,,,,10-12-12-12,13.8,205.2,12,448(-2),,,,"[西]
平田修",水上行雄,,202410020704,NAR
1,3,3,クロカドッグ,牡7,56,出水拓人,1:32.0,,**,-,-,-,-,6-6-3-2,40.0,4.1,2,559(0),,,,"[地]
中川竜馬",豊島愛子,35.0,202455030201,NAR
2,8,9,サンマルビクトリー,牡6,56,石川慎将,1:32.2,1,**,-,-,-,-,2-2-1-1,41.4,1.4,1,513(+5),,,,"[地]
山田徹",平本淳一,11.2,202455030201,NAR
3,6,6,ビヨンドザバラード,牡4,56,金山昇馬,1:32.8,3,**,-,-,-,-,7-7-7-3,40.0,113.8,9,409(0),,,,"[地]
濱田一夫",鶴俊邦,6.3,202455030201,NAR
4,8,10,ユクサキタ,牝4,54,田中直人,1:33.1,1.1/2,**,-,-,-,-,9-9-8-5,39.9,19.2,5,448(+1),,,,"[地]
九日俊光",新保孝一,4.2,202455030201,NAR
5,7,7,マイネルケイローン,牡7,56,山下裕貴,1:34.2,6,**,-,-,-,-,4-4-4-4,42.3,11.7,3,462(+5),,,,"[地]
大垣敏夫",小橋亮太,2.8,202455030201,NAR
6,5,5,デルマウワテナゲ,牡4,56,竹吉徹,1:35.4,6,**,-,-,-,-,3-3-5-7,43.6,18.9,4,478(-11),,,,"[地]
山田徹",浅沼廣幸,,202455030201,NAR
7,2,2,デルマヨビモドシ,牡4,54,青海大樹,1:35.6,3/4,**,-,-,-,-,5-5-6-8,43.7,27.1,7,464(+8),,,,"[地]
山田徹",浅沼廣幸,,202455030201,NAR
8,1,1,ダンシングスキー,牝5,51,合林海斗,1:35.9,1.1/2,**,-,-,-,-,10-10-10-10,42.5,116.3,10,401(+2),,,,"[地]
頼本盛行",神野生男,,202455030201,NAR
9,7,8,アイガーテソーロ,牡7,56,川島拓,1:36.0,クビ,**,-,-,-,-,8-8-9-9,42.8,80.9,8,519(-2),,,,"[地]
大垣敏夫",了徳寺健二ホールディ,,202455030201,NAR
10,4,4,パッションフラワー,牝8,54,村松翔太,1:36.1,3/4,**,-,-,-,-,1-1-2-6,44.9,23.2,6,391(-2),,,,"[地]
柳井宏之",津村達矢,,202455030201,NAR
1,4,8,ダイシンヤマト,牡4,58,吉田豊,1:34.8,,**,**,**,**,**,8-8-4,34.8,1.8,1,506(0),,,,"[東]
戸田博文",大八木信行,800.0,202406020308,NAR
2,4,7,レッドロスタム,牡4,58,三浦皇成,1:35.4,4,**,**,**,**,**,3-3-3,35.9,4.9,2,490(-12),,,,"[東]
国枝栄",東京ホースレーシング,320.0,202406020308,NAR
3,8,16,ビジューブリランテ,セ6,58,坂井瑠星,1:35.5,1/2,**,**,**,**,**,8-9-8,35.3,31.8,7,488(-8),,,,"[東]
武井亮",シルクレーシング,200.0,202406020308,NAR
4,3,5,ウインルピナス,牝4,56,横山武史,1:35.6,クビ,**,**,**,**,**,5-5-4,35.8,6.7,3,432(+10),,,,"[東]
鈴木伸尋",ウイン,120.0,202406020308,NAR
5,1,2,セリオーソ,牝4,56,戸崎圭太,1:35.7,1,**,**,**,**,**,6-5-8,35.9,9.2,4,446(+6),,,,"[東]
高柳瑞樹",ＶｉｒｉｄｉａｎＫｅｉｂａＣｌｕｂ,80.0,202406020308,NAR
6,7,14,シルバージュエリー,牝4,56,杉原誠人,1:35.8,3/4,**,**,**,**,**,12-11-10,35.4,15.4,6,456(-8),,,,"[東]
加藤士津",Ｇ１レーシング,,202406020308,NAR
7,3,6,エンギダルマ,牡5,58,嶋田純次,1:35.9,3/4,**,**,**,**,**,2-2-2,36.5,65.5,9,518(+8),,,,"[東]
手塚貴久",星野壽市,,202406020308,NAR
8,7,13,アンブロジアーナ,牝5,54,藤田菜七,1:35.9,アタマ,**,**,**,**,**,10-11-12,35.5,249.7,12,420(+4),,,,"[東]
上原博之",兼子尚也,,202406020308,NAR
9,2,4,マイスイートハート,牝5,56,キング,1:36.1,1.1/4,**,**,**,**,**,3-3-4,36.5,51.4,8,504(-12),,,,"[東]
大竹正博",村野康司,,202406020308,NAR
10,2,3,スウィーヴェモワ,牝4,56,大野拓弥,1:36.1,ハナ,**,**,**,**,**,1-1-1,36.9,13.0,5,508(-4),,,,"[東]
田村康仁",ラ・メール,,202406020308,NAR
11,5,10,ビヨンドザタイム,牡5,58,丸山元気,1:36.2,クビ,**,**,**,**,**,6-5-7,36.4,265.6,13,462(+2),,,,"[東]
金成貴史",レッドマジック,,202406020308,NAR
12,6,11,フェルドランス,牡4,57,原優介,1:36.2,アタマ,**,**,**,**,**,15-15-13,35.2,67.7,10,466(-1),,,,"[東]
鈴木慎太",木部厳生,,202406020308,NAR
13,1,1,ルプランドル,牝5,55,横山琉人,1:36.2,クビ,**,**,**,**,**,10-9-11,36.0,284.0,14,472(-8),,,,"[東]
萱野浩二",ＫＡＪＩＭＯＴＯホールディングス,,202406020308,NAR
14,6,12,オブリクア,牝4,56,石川裕紀,1:36.2,ハナ,**,**,**,**,**,14-13-13,35.4,129.1,11,460(-2),,,,"[東]
萩原清",ノースヒルズ,,202406020308,NAR
15,5,9,アンカリング,牝4,55,永野猛蔵,1:36.4,1,**,**,**,**,**,13-13-13,35.7,731.1,16,454(+14),,,,"[東]
土田稔",酒井孝敏,,202406020308,NAR
16,8,15,ランペイジシチー,牡4,58,内田博幸,1:40.5,大,**,**,**,**,**,16-16-16,38.6,696.3,15,482(+13),,,,"[東]
南田美知",山口謙太郎,,202406020308,NAR
1,8,8,ダイレクトエース,牡4,675,船山蔵人,01:34.5,,,-,-,-,-,9-4-4,28.5,9.8,6,1033(-7),,,**,"[地]
小林長吉",加藤勇,27.0,202465030212,NAR
2,7,7,ローランド,牡4,675,鈴木恵介,01:36.8,2.3,,-,-,-,-,1-4-2,32.8,3.6,1,1051(+2),,,**,"[地]
槻舘重人",奥泉愛子,10.2,202465030212,NAR
3,2,2,コブダイヤ,牡4,675,西将太,01:37.9,3.4,,-,-,-,-,1-1-1,37.9,4.9,3,1050(-12),,,**,"[地]
大橋和則",寺田敏子,5.9,202465030212,NAR
4,8,9,トウケイレーヴ,牡4,675,島津新,01:39.1,4.6,,-,-,-,-,5-4-4,33.1,6.3,5,979(+1),,,**,"[地]
金田勇",加藤圭太,3.2,202465030212,NAR
5,1,1,アバシリモミジ,牝4,645,今井千尋,01:40.1,5.6,,-,-,-,-,3-4-2,36.1,11.2,7,992(-6),,,**,"[地]
金田勇",佐藤久夫,2.1,202465030212,NAR
6,6,6,イワキシチフク,牡4,675,菊池一樹,01:43.1,8.6,,-,-,-,-,5-2-7,31.1,4.9,2,984(+7),,,**,"[地]
小林勝二",蝦名豊,,202465030212,NAR
7,5,5,コマサンリキ,牡4,675,金田利貴,01:45.0,10.5,,-,-,-,-,3-2-6,36.0,5.1,4,1012(+6),,,**,"[地]
金田勇",駒井鉄雄,,202465030212,NAR
8,4,4,アアモンドオーザン,セ5,685,赤塚健仁,01:59.8,25.3,,-,-,-,-,7-9-9,34.8,58.5,8,1018(+6),,,**,"[地]
山本正彦",下内美繪子,,202465030212,NAR
9,3,3,イナノホマレ,牝5,665,松本秀克,02:12.0,37.5,,-,-,-,-,7-8-8,51.0,74.8,9,1025(+8),,,**,"[地]
小北栄一",（株）大阪畜産,,202465030212,NAR
1,2,2,ユールメイキット,牝4,54,飛田愛斗,1:33.4,,**,-,-,-,-,3-3-3-2,38.8,4.3,4,411(+2),,,,"[地]
三小田幸",北原大史,35.0,202455030204,NAR
2,3,3,ユーデモニクス,セ9,56,加茂飛翔,1:33.5,1/2,**,-,-,-,-,1-1-1-1,39.2,3.0,2,484(+3),,,,"[地]
大島静夫",北原大史,11.2,202455030204,NAR
3,8,8,フクシマブルース,牝4,53,中山蓮王,1:33.5,アタマ,**,-,-,-,-,7-5-5-3,38.6,19.7,5,416(-2),,,,"[地]
石川浩文",西本資史,6.3,202455030204,NAR
4,8,9,ミユキパーフェクト,牡6,56,田中直人,1:34.4,5,**,-,-,-,-,5-4-2-4,39.8,2.9,1,465(+1),,,,"[地]
川田孝好",長井純一,4.2,202455030204,NAR
5,4,4,セシール,牝7,51,合林海斗,1:34.4,クビ,**,-,-,-,-,4-6-7-5,39.3,3.9,3,471(+11),,,,"[地]
石川浩文",（株）アプエンテ,2.8,202455030204,NAR
6,7,7,ドリームダンス,牝4,54,村松翔太,1:34.9,2.1/2,**,-,-,-,-,6-7-6-7,39.6,150.7,9,393(-2),,,,"[地]
柳井宏之",中田喜久子,,202455030204,NAR
7,5,5,キョウエイジェリコ,牝5,54,長田進仁,1:35.1,1,**,-,-,-,-,2-2-4-6,40.7,82.4,7,415(+4),,,,"[地]
中野博",小橋亮太,,202455030204,NAR
8,6,6,クラウンレイエス,牡4,56,川島拓,1:35.7,3,**,-,-,-,-,8-8-8-9,39.9,45.2,6,470(+1),,,,"[地]
渡辺博文",サンエツ企画（有）,,202455030204,NAR
9,1,1,ショウナンカムイ,牡4,56,山下裕貴,1:36.2,2.1/2,**,-,-,-,-,9-9-9-8,40.0,134.1,8,476(-5),,,,"[地]
土井道隆",岡友則,,202455030204,NAR
1,5,6,アリスヴェリテ,牝4,53,柴田裕一,2:01.7,,**,**,**,**,**,1-1-1-1,37.1,1.9,1,454(+2),,,,"[西]
中竹和也",加藤誠,800.0,202410020708,NAR
2,8,13,キヨラ,牝6,56,黛弘人,2:02.6,5,**,**,**,**,**,12-12-11-11,35.9,16.7,5,474(-4),,,,"[東]
堀内岳志",三度屋,320.0,202410020708,NAR
3,6,9,ピクシレーション,牝4,56,菊沢一樹,2:02.7,1/2,**,**,**,**,**,5-5-5-3,37.2,4.5,2,462(-2),,,,"[東]
菊沢隆徳",社台レースホース,200.0,202410020708,NAR
4,4,4,ツッチーフェイス,牝5,55,小沢大仁,2:02.7,ハナ,**,**,**,**,**,3-3-3-2,37.3,34.1,9,466(+6),,,,"[西]
今野貞一",ＳＴレーシング,120.0,202410020708,NAR
5,2,2,オーパンバル,牝6,56,富田暁,2:03.0,2,**,**,**,**,**,11-11-10-6,36.6,10.2,4,458(-14),,,,"[西]
野中賢二",ニッシンホールディングス,80.0,202410020708,NAR
6,7,11,アームテイル,牝4,56,斎藤新,2:03.1,3/4,**,**,**,**,**,9-10-8-6,36.8,32.6,8,446(-2),,,,"[東]
和田勇介",三嶋牧場,,202410020708,NAR
7,8,12,トゥルブレンツ,牝4,56,藤岡康太,2:03.7,3.1/2,**,**,**,**,**,7-8-8-6,37.5,34.4,10,424(0),,,,"[西]
小栗実",Ｇ１レーシング,,202410020708,NAR
8,4,5,アンノウンレディ,牝4,56,丹内祐次,2:03.8,クビ,**,**,**,**,**,9-9-11-12,37.1,64.5,12,448(+6),,,,"[東]
清水英克",サラブレッドクラブ・ラフィアン,,202410020708,NAR
9,3,3,チョッピー,牝5,56,岡部誠,2:04.1,2,**,**,**,**,**,13-13-11-13,37.3,60.4,11,462(-4),,,,"[西]
北出成人",岡浩二,,202410020708,NAR
10,7,10,ビヨンドザリミット,牝5,56,菱田裕二,2:04.1,アタマ,**,**,**,**,**,7-7-6-6,38.2,17.6,6,470(0),,,,"[東]
稲垣幸雄",フィールドレーシング,,202410020708,NAR
11,5,7,プロミシングギャル,牝4,56,吉田隼人,2:04.3,1,**,**,**,**,**,5-5-6-6,38.5,270.7,13,438(+4),,,,"[西]
森田直行",近藤克麿,,202410020708,NAR
12,6,8,セルケト,牝5,56,幸英明,2:04.6,1.1/2,**,**,**,**,**,4-4-3-3,39.2,23.6,7,492(-4),,,,"[西]
斉藤崇史",吉田勝己,,202410020708,NAR
13,1,1,イリスレーン,牝4,53,永島まな,2:05.2,4,**,**,**,**,**,2-2-2-3,40.0,7.8,3,468(-10),,,,"[西]
清水久詞",インゼルレーシング,,202410020708,NAR
1,1,1,スパークルジョイ,牝3,55,斎藤新,0:58.3,,**,**,**,**,**,1-1,35.3,4.3,2,446(+6),,,,"[西]
鮫島一歩",輝レーシング,550.0,202410020703,NAR
2,4,5,ビーコング,牡3,56,松本大輝,0:58.8,3,**,**,**,**,**,2-2,35.7,1.8,1,492(-4),,,,"[西]
新谷功一",馬場祥晃,220.0,202410020703,NAR
3,4,6,スリーボビー,牡3,54,水沼元輝,0:58.9,1/2,**,**,**,**,**,10-8,35.1,48.1,9,484(-4),,,,"[東]
伊藤圭三",永井商事,140.0,202410020703,NAR
4,8,14,ストライクオン,牡3,56,角田大和,0:59.1,1.1/4,**,**,**,**,**,4-6,35.9,47.5,8,476(+2),,,,"[西]
角田晃一",シンザンクラブ,83.0,202410020703,NAR
5,5,8,スターチスブーケ,牝3,52,吉村誠之,0:59.2,3/4,**,**,**,**,**,13-12,35.1,9.0,4,492(-6),,,,"[西]
清水久詞",ノルマンディーサラブレッドレーシング,55.0,202410020703,NAR
6,7,12,フレイミングパイ,牝3,52,柴田裕一,0:59.3,クビ,**,**,**,**,**,9-10,35.7,72.8,11,434(+2),,,,"[西]
中竹和也",薪浦亨,,202410020703,NAR
7,5,7,ヒロブライト,牡3,57,富田暁,0:59.3,クビ,**,**,**,**,**,6-4,35.9,218.6,12,506(-8),,,,"[西]
川村禎彦",石川博,,202410020703,NAR
8,2,2,コパマエチャン,牝3,52,石田拓郎,0:59.6,1.1/2,**,**,**,**,**,6-6,36.1,6.5,3,484(+8),,,,"[東]
大和田成",小林祥晃,,202410020703,NAR
9,6,9,ドランクマン,牡3,54,鷲頭虎太,0:59.7,1/2,**,**,**,**,**,4-4,36.5,10.6,5,462(-8),,,,"[西]
新谷功一",須藤英之,,202410020703,NAR
10,6,10,ライスネイチャ,牡3,56,小沢大仁,0:59.9,1.1/2,**,**,**,**,**,6-8,36.4,39.3,6,436(0),,,,"[西]
松永昌博",山田信太郎,,202410020703,NAR
11,3,4,メイショウニコニコ,牝3,52,永島まな,1:00.2,1.3/4,**,**,**,**,**,2-2,37.1,47.3,7,440(-6),,,,"[西]
高橋亮",松本好雄,,202410020703,NAR
12,3,3,ココロオドル,牝3,55,黛弘人,1:00.3,1/2,**,**,**,**,**,10-10,36.5,321.8,13,436(-14),,,,"[東]
伊藤大士",ミルファーム,,202410020703,NAR
13,8,13,オープンソース,牝3,55,菱田裕二,1:01.1,5,**,**,**,**,**,14-13,36.6,432.5,14,428(0),,,,"[東]
辻哲英",ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス,,202410020703,NAR
14,7,11,ルクスリーベン,牝3,51,河原田菜,1:01.5,2,**,**,**,**,**,10-13,37.7,60.7,10,436(-4),,,,"[西]
松永昌博",ルクス,,202410020703,NAR
1,6,6,カガカプチーノ,牡3,56,川島拓,1:25.2,,**,-,-,-,-,1-1-1-1,39.8,1.6,1,446(0),,,,"[地]
松島壽",大黒富美子,40.0,202455030205,NAR
2,3,3,スマイルフォレスト,セ3,56,山口勲,1:26.0,4,**,-,-,-,-,4-3-3-3,40.1,3.9,2,471(0),,,,"[地]
九日俊光",松野真一,12.8,202455030205,NAR
3,6,7,テルセイラ,牝3,54,飛田愛斗,1:26.1,1/2,**,-,-,-,-,2-2-2-2,40.4,8.5,4,450(+26),,,,"[地]
鮫島克也",成富直行,7.2,202455030205,NAR
4,4,4,テイエムボビーダン,牡3,55,中山蓮王,1:26.2,1/2,**,-,-,-,-,8-8-5-4,39.8,4.8,3,511(-1),,,,"[地]
平山宏秀",竹園正繼,4.8,202455030205,NAR
5,7,8,ヒルズクィーン,牝3,54,山下裕貴,1:26.6,2,**,-,-,-,-,3-4-4-5,40.4,43.7,5,430(-4),,,,"[地]
九日俊光",岡友則,3.2,202455030205,NAR
6,8,10,カシノブロッサム,牝3,52,青海大樹,1:26.7,1/2,**,-,-,-,-,5-5-6-6,40.4,205.3,11,407(+5),,,,"[地]
濱田一夫",柏木務,,202455030205,NAR
7,1,1,プラウドコラゾン,牝3,54,出水拓人,1:27.1,2,**,-,-,-,-,9-9-9-7,40.1,78.3,7,488(+12),,,,"[地]
東眞市",古谷剛彦,,202455030205,NAR
8,2,2,コンバットジェイ,牡3,56,小松丈二,1:27.7,3,**,-,-,-,-,11-11-11-10,39.9,183.4,10,410(+2),,,,"[地]
石川浩文",（株）アプエンテ,,202455030205,NAR
9,7,9,サツキレジェンド,牝3,54,金山昇馬,1:27.8,1/2,**,-,-,-,-,10-10-10-11,40.6,44.1,6,417(-2),,,,"[地]
手島勝利",小野さつき,,202455030205,NAR
10,8,11,オーミステラータ,牝3,54,石川慎将,1:28.3,2.1/2,**,-,-,-,-,7-6-7-8,41.9,149.9,9,428(-4),,,,"[地]
手島勝利",岩崎僖澄,,202455030205,NAR
11,5,5,ハッピーワンダー,牝3,54,田中直人,1:29.1,4,**,-,-,-,-,6-7-8-9,42.4,126.8,8,472(-1),,,,"[地]
九日俊光",岡友則,,202455030205,NAR
1,7,8,キントリヒ,牡5,57,岩田望来,2:34.9,,**,**,**,**,**,6-6-7-4,35.6,7.7,6,476(+6),,,,"[東]
矢野英一",Ｇリビエール・レーシング,"1,573.1",202406020309,NAR
2,8,11,アドマイヤサジー,牝4,52,キング,2:35.1,1,**,**,**,**,**,2-2-2-2,36.5,5.8,5,442(+4),,,,"[東]
宮田敬介",近藤旬子,626.6,202406020309,NAR
3,6,6,アームブランシュ,牡4,56,吉田豊,2:35.3,1.1/4,**,**,**,**,**,10-10-8-7,35.8,5.0,2,456(+2),,,,"[東]
竹内正洋",古川一弘,393.3,202406020309,NAR
4,5,5,シャインユニバンス,牝6,55,戸崎圭太,2:35.5,1.1/4,**,**,**,**,**,8-8-11-10,35.7,5.3,4,434(0),,,,"[東]
田村康仁",亀井哲也,230.0,202406020309,NAR
5,1,1,シュブリーム,牡8,53,永野猛蔵,2:35.5,クビ,**,**,**,**,**,1-1-1-1,38.0,111.5,9,488(0),,,,"[東]
大和田成",栗坂崇,155.0,202406020309,NAR
6,7,9,タガノバルコス,牡5,56,丸山元気,2:35.6,1/2,**,**,**,**,**,8-8-8-9,36.1,22.6,7,486(+2),,,,"[西]
鮫島一歩",八木良司,,202406020309,NAR
7,4,4,ホウオウサンデー,牡6,57,横山和生,2:35.6,アタマ,**,**,**,**,**,11-11-4-2,36.6,3.3,1,466(0),,,,"[東]
奥村武",小笹芳央,,202406020309,NAR
8,6,7,レヴォルタード,牡4,55,津村明秀,2:36.0,2.1/2,**,**,**,**,**,3-3-3-4,37.2,5.0,3,520(+6),,,,"[東]
手塚貴久",キャロットファーム,,202406020309,NAR
9,8,10,セツメンノトビウオ,牡7,53,川須栄彦,2:36.2,1,**,**,**,**,**,4-4-4-7,37.1,271.6,10,470(+2),,,,"[西]
牧田和弥",三宅勝俊,,202406020309,NAR
10,3,3,シルバープリペット,牡4,55,嶋田純次,2:36.2,アタマ,**,**,**,**,**,4-4-4-6,37.2,103.8,8,472(-4),,,,"[東]
松山将樹",ミルファーム,,202406020309,NAR
11,2,2,クリノキングボス,牡7,50,大江原比,2:36.9,4,**,**,**,**,**,6-6-8-11,37.3,304.9,11,470(0),,,,"[東]
天間昭一",栗本博晴,,202406020309,NAR
1,7,11,ジョウショーホープ,牡4,58,ルメール,1:20.8,,**,**,**,**,**,4-4,34.7,1.8,1,486(+10),,,,"[西]
新谷功一",熊田義孝,"1,140.0",202409010312,NAR
2,8,13,ケイデンシーマーク,牝4,56,北村友一,1:20.9,クビ,**,**,**,**,**,3-2,35.1,3.0,2,446(+8),,,,"[西]
安田隆行",サンデーレーシング,460.0,202409010312,NAR
3,7,10,コナブラック,牡5,58,鮫島克駿,1:20.9,クビ,**,**,**,**,**,2-2,35.2,14.1,4,522(+2),,,,"[西]
清水久詞",サンデーレーシング,290.0,202409010312,NAR
4,3,3,マイネルラッシュ,牡4,58,松山弘平,1:21.3,2.1/2,**,**,**,**,**,6-6,35.0,7.4,3,462(-8),,,,"[東]
水野貴広",サラブレッドクラブ・ラフィアン,170.0,202409010312,NAR
5,1,1,トーホウフランゴ,牝4,56,団野大成,1:21.4,3/4,**,**,**,**,**,4-4,35.4,97.3,9,440(+2),,,,"[西]
高橋康之",東豊物産,114.0,202409010312,NAR
6,5,6,アスクビギンアゲン,牡5,58,岩田康誠,1:21.4,クビ,**,**,**,**,**,8-8,34.9,14.3,5,566(+8),,,,"[西]
梅田智之",廣崎利洋,,202409010312,NAR
7,6,8,ショウナンアメリア,牝5,53,今村聖奈,1:21.5,クビ,**,**,**,**,**,1-1,36.4,72.4,8,448(-12),,,,"[東]
奥村武",国本哲秀,,202409010312,NAR
8,4,5,スカイロケット,牡4,58,ムルザバ,1:21.5,アタマ,**,**,**,**,**,11-10,34.5,17.5,6,440(0),,,,"[西]
須貝尚介",シルクレーシング,,202409010312,NAR
9,2,2,ファルヴォーレ,牡6,58,和田竜二,1:21.6,1,**,**,**,**,**,6-6,35.3,98.1,10,470(-2),,,,"[西]
高橋義忠",杉山忠国,,202409010312,NAR
10,4,4,キングダムウイナー,牡7,58,国分優作,1:21.8,1.1/4,**,**,**,**,**,12-12,34.7,292.9,12,504(+2),,,,"[西]
田中克典",ライオンレースホース,,202409010312,NAR
11,8,12,カールスモーキー,牡5,58,西村淳也,1:22.0,1,**,**,**,**,**,10-10,35.2,48.9,7,490(-4),,,,"[東]
和田勇介",中村伊三美,,202409010312,NAR
12,5,7,バーンパッション,牡7,57,田口貫太,1:22.0,クビ,**,**,**,**,**,12-12,34.8,434.7,13,476(-6),,,,"[東]
天間昭一",岡田牧雄,,202409010312,NAR
13,6,9,フチサンメルチャン,牡7,58,小牧太,1:22.1,3/4,**,**,**,**,**,8-8,35.5,280.5,11,478(-2),,,,"[西]
笹田和秀",中西功,,202409010312,NAR
1,1,1,アアモンドテスラ,牡3,570,阿部武臣,01:47.2,,,-,-,-,-,4-1-1,33.2,4.6,2,1000(-1),,,**,"[地]
村上慎一",下内美繪子,31.0,202465030205,NAR
2,3,3,クリスタルドール,牝3,550,西謙一,01:49.1,1.9,,-,-,-,-,4-2-2,35.1,14.0,7,973(+1),,,**,"[地]
西弘美",小向勝司,11.7,202465030205,NAR
3,7,7,メイコウクィーン,牝3,550,菊池一樹,01:50.1,2.9,,-,-,-,-,9-5-7,32.1,6.0,4,995(+5),,,**,"[地]
槻舘重人",濱名義昭,6.8,202465030205,NAR
4,8,8,キタサカエノーリー,牡3,570,中村太陽,01:50.9,3.7,,-,-,-,-,1-5-5,33.9,23.5,9,844(-7),,,**,"[地]
松井浩文",（株）北栄運輸,3.7,202465030205,NAR
5,4,4,トレジャーボール,牝3,550,長澤幸太,01:54.3,7.1,,-,-,-,-,4-4-4,39.3,6.6,5,925(-3),,,**,"[地]
金田勇",岩本剛,2.4,202465030205,NAR
6,5,5,ケンチャン,牡3,570,島津新,01:54.3,7.1,,-,-,-,-,1-9-9,31.3,4.1,1,973(+14),,,**,"[地]
岩本利春",阿部健一,,202465030205,NAR
7,6,6,ジェイエンゼル,牝3,550,鈴木恵介,01:55.0,7.8,,-,-,-,-,4-5-5,38.0,18.0,8,871(-3),,,**,"[地]
松田道明",小森唯永,,202465030205,NAR
8,8,9,ヤマカツサファイア,牝3,550,金田利貴,01:57.4,10.2,,-,-,-,-,1-5-8,37.4,5.8,3,912(-1),,,**,"[地]
金田勇",高野勝紀,,202465030205,NAR
9,2,2,ホクセイガキタ,牝3,550,西将太,01:59.8,12.6,,-,-,-,-,4-2-2,45.8,7.0,6,913(-13),,,**,"[地]
西弘美",（株）北西ファーム,,202465030205,NAR
1,7,10,ヴィスマール,牡3,57,ムルザバ,2:16.1,,**,**,**,**,**,7-7-7-6,36.5,1.8,1,450(+2),,,,"[西]
奥村豊",キャロットファーム,550.0,202409010305,NAR
